review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000001,ORD-20250903-827928,CUST-10057,REST-AUH-002,Enjoyed the Fresh Lime Soda! Fresh Lime Soda was very good. Portion sizes were generous. Recommend!,4,2025-09-04T19:44:55.354576
REV-000002,ORD-20250907-994321,CUST-10282,REST-SHJ-001,Outstanding experience! The Butter Chicken  Naan  Samosa (2 pcs)  and Dal Makhani exceeded all expectations. Samosa (2 pcs) was the star of the meal. Will definitely order again!,5,2025-09-13T13:24:28.354576
REV-000005,ORD-20250915-403148,CUST-10413,REST-SHJ-001,Best Indian food in UAE! Garlic Naan  Paneer Butter Masala  and Gulab Jamun (2 pcs) were incredible. Garlic Naan had the perfect balance of spices. Five stars!,5,2025-09-16T22:38:19.354576
REV-000003,ORD-20250911-915067,CUST-10332,REST-SHJ-001,Decent food but nothing special. Fish Curry and Chicken Tikka Masala were okay. Chicken Tikka Masala lacked the punch I expected.,3,2025-09-18T14:46:55.354576
REV-000004,ORD-20250914-607225,CUST-10388,REST-DXB-002,Hands down the best Fresh Lime Soda I've ever had! Fresh Lime Soda and Chicken Seekh Kebab were all prepared beautifully. Fresh and flavorful!,5,2025-09-21T18:23:33.354576
REV-000006,ORD-20250923-898279,CUST-10307,REST-DXB-001,Wow! Just wow! Rasmalai (2 pcs)  Naan  and Sweet Lassi were all fantastic. Rasmalai (2 pcs) was particularly memorable. Can't wait to order again!,5,2025-09-24T13:14:42.354576
REV-000007,ORD-20250926-342900,CUST-10215,REST-DXB-001,Average experience. Sweet Lassi and Mango Lassi were fine but Sweet Lassi was a bit bland. Room for improvement.,3,2025-09-29T12:04:19.354576
REV-000008,ORD-20251001-800514,CUST-10040,REST-SHJ-001,Absolutely amazing Tandoori Roti! The Tandoori Roti was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-10-06T14:02:52.354576
REV-000009,ORD-20251002-195165,CUST-10480,REST-AUH-001,Outstanding experience! The Paneer Butter Masala exceeded all expectations. Paneer Butter Masala was the star of the meal. Will definitely order again!,5,2025-10-06T16:06:09.354576
REV-000010,ORD-20251005-572064,CUST-10486,REST-AUH-001,Wow! Just wow! Butter Naan  Garlic Naan  Tandoori Roti  and Fresh Lime Soda were all fantastic. Tandoori Roti was particularly memorable. Can't wait to order again!,5,2025-10-11T14:31:11.354576
REV-000013,ORD-20251010-368352,CUST-10202,REST-DXB-001,Expected better. Paneer Butter Masala  Masala Chai  Rasmalai (2 pcs)  Paneer Tikka  and Malai Kofta were subpar. Paneer Tikka was too oily and greasy. Stomach upset followed.,2,2025-10-14T10:54:28.354576
REV-000011,ORD-20251008-798047,CUST-10047,REST-DXB-001,Mixed feelings. Fish Curry  Butter Naan  Vegetable Biryani  Lamb Rogan Josh  and Dal Makhani were acceptable. Fish Curry was decent but portion was small for the price.,3,2025-10-14T12:30:25.354576
REV-000012,ORD-20251008-759413,CUST-10339,REST-SHJ-001,Exceptional quality! Ordered Palak Paneer  Kulfi  Lamb Rogan Josh  and Paneer Tikka and everything was delicious. The Palak Paneer melted in my mouth. Perfect!,5,2025-10-15T19:24:55.354576
REV-000014,ORD-20251010-700591,CUST-10381,REST-DXB-001,Wow! Just wow! Lamb Rogan Josh  Kulfi  Chicken Biryani  Aloo Tikki Chaat  and Butter Chicken were all fantastic. Lamb Rogan Josh was particularly memorable. Can't wait to order again!,5,2025-10-16T16:09:24.354576
REV-000016,ORD-20251012-707955,CUST-10476,REST-DXB-001,Not bad  not great. Aloo Tikki Chaat were edible. Aloo Tikki Chaat needed more seasoning.,3,2025-10-18T10:27:51.354576
REV-000015,ORD-20251011-278411,CUST-10234,REST-AUH-002,Mixed feelings. Fresh Lime Soda and Samosa (2 pcs) were acceptable. Fresh Lime Soda was decent but portion was small for the price.,3,2025-10-18T11:41:05.354576
REV-000017,ORD-20251014-673123,CUST-10390,REST-SHJ-001,Enjoyed the Kulfi and Chicken Seekh Kebab! Kulfi was very good. Portion sizes were generous. Recommend!,4,2025-10-21T15:56:46.354576
REV-000018,ORD-20251016-285346,CUST-10305,REST-AUH-001,Very satisfied! Gulab Jamun (2 pcs) were fresh and flavorful. Gulab Jamun (2 pcs) was the standout dish.,4,2025-10-21T17:03:36.354576
REV-000020,ORD-20251022-149527,CUST-10102,REST-DXB-002,Perfect in every way! Fish Curry  Chicken Seekh Kebab  Butter Naan  and Dal Makhani were all excellent. Fish Curry stood out with its rich  authentic taste.,5,2025-10-24T18:48:52.354576
REV-000021,ORD-20251026-325329,CUST-10072,REST-DXB-001,Very satisfied! Paneer Butter Masala and Samosa (2 pcs) were fresh and flavorful. Paneer Butter Masala was the standout dish.,4,2025-10-28T22:08:38.354576
REV-000019,ORD-20251022-833694,CUST-10399,REST-AUH-001,Wow! Just wow! Naan  Masala Chai  and Palak Paneer were all fantastic. Masala Chai was particularly memorable. Can't wait to order again!,5,2025-10-29T13:00:26.354576
REV-000024,ORD-20251030-485428,CUST-10234,REST-SHJ-001,Absolutely amazing Chicken Tikka Masala  Butter Chicken  and Aloo Tikki Chaat! The Aloo Tikki Chaat was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-10-31T17:25:13.354576
REV-000022,ORD-20251028-721094,CUST-10073,REST-DXB-002,Below expectations. Lamb Rogan Josh  Malai Kofta  and Vegetable Biryani were underwhelming. Malai Kofta was overcooked and dry.,2,2025-11-02T17:58:31.354576
REV-000023,ORD-20251029-358248,CUST-10093,REST-DXB-002,Wow! Just wow! Sweet Lassi  Dal Makhani  Vegetable Biryani  Lamb Rogan Josh  and Rasmalai (2 pcs) were all fantastic. Sweet Lassi was particularly memorable. Can't wait to order again!,5,2025-11-03T11:17:32.354576
REV-000025,ORD-20251106-491555,CUST-10450,REST-DXB-001,Perfect in every way! Gulab Jamun (2 pcs)  Jeera Rice  and Butter Naan were all excellent. Jeera Rice stood out with its rich  authentic taste.,5,2025-11-07T14:59:12.354576
REV-000027,ORD-20251116-786636,CUST-10451,REST-SHJ-001,Decent food but nothing special. Kulfi  Sweet Lassi  Fish Curry  Jeera Rice  and Malai Kofta were okay. Malai Kofta lacked the punch I expected.,3,2025-11-18T16:34:08.354576
REV-000026,ORD-20251112-793993,CUST-10205,REST-AUH-002,Perfect in every way! Samosa (2 pcs)  Lamb Rogan Josh  Butter Naan  and Chicken Seekh Kebab were all excellent. Lamb Rogan Josh stood out with its rich  authentic taste.,5,2025-11-19T10:56:19.354576
REV-000028,ORD-20251117-251811,CUST-10347,REST-AUH-001,Wow! Just wow! Chicken Biryani  Aloo Tikki Chaat  Butter Chicken  Garlic Naan  and Vegetable Biryani were all fantastic. Garlic Naan was particularly memorable. Can't wait to order again!,5,2025-11-22T12:10:09.354576
REV-000031,ORD-20251119-168737,CUST-10246,REST-AUH-002,Exceptional quality! Ordered Butter Naan and everything was delicious. The Butter Naan melted in my mouth. Perfect!,5,2025-11-22T12:57:06.354576
REV-000029,ORD-20251117-110995,CUST-10291,REST-DXB-001,Wow! Just wow! Samosa (2 pcs)  Vegetable Biryani  and Mango Lassi were all fantastic. Mango Lassi was particularly memorable. Can't wait to order again!,5,2025-11-23T17:30:40.354576
